Concessionaria;mes_ano;Sentido;Praca;Categoria;Tipo_de_veiculo;Volume_total
12.Rodovia do Aço;Dec-10;Norte;Praça 01  BR-393/RJ km 125,00;Categoria 9;Moto;2146
12.Rodovia do Aço;Dec-10;Sul;Praça 01  BR-393/RJ km 125,00;Categoria 9;Moto;2051
12.Rodovia do Aço;Jan-10;Norte;Praça 01  BR-393/RJ km 125,00;Outros;Comercial;1391
12.Rodovia do Aço;Jan-10;Sul;Praça 01  BR-393/RJ km 125,00;Outros;Comercial;1123
12.Rodovia do Aço;Feb-10;Norte;Praça 01  BR-393/RJ km 125,00;Outros;Comercial;1321
12.Rodovia do Aço;Feb-10;Sul;Praça 01  BR-393/RJ km 125,00;Outros;Comercial;1066
12.Rodovia do Aço;Mar-10;Norte;Praça 01  BR-393/RJ km 125,00;Outros;Comercial;1888
12.Rodovia do Aço;Mar-10;Sul;Praça 01  BR-393/RJ km 125,00;Outros;Comercial;1524
12.Rodovia do Aço;Apr-10;Norte;Praça 01  BR-393/RJ km 125,00;Outros;Comercial;1751
12.Rodovia do Aço;Apr-10;Sul;Praça 01  BR-393/RJ km 125,00;Outros;Comercial;1413
12.Rodovia do Aço;May-10;Norte;Praça 01  BR-393/RJ km 125,00;Outros;Comercial;1909
12.Rodovia do Aço;May-10;Sul;Praça 01  BR-393/RJ km 125,00;Outros;Comercial;1541
12.Rodovia do Aço;Jun-10;Norte;Praça 01  BR-393/RJ km 125,00;Outros;Comercial;1874
12.Rodovia do Aço;Jun-10;Sul;Praça 01  BR-393/RJ km 125,00;Outros;Comercial;1513
12.Rodovia do Aço;Jul-10;Norte;Praça 01  BR-393/RJ km 125,00;Outros;Comercial;1985
12.Rodovia do Aço;Jul-10;Sul;Praça 01  BR-393/RJ km 125,00;Outros;Comercial;1603
12.Rodovia do Aço;Aug-10;Norte;Praça 01  BR-393/RJ km 125,00;Outros;Comercial;1790
12.Rodovia do Aço;Aug-10;Sul;Praça 01  BR-393/RJ km 125,00;Outros;Comercial;1446
12.Rodovia do Aço;Sep-10;Norte;Praça 01  BR-393/RJ km 125,00;Outros;Comercial;1575
12.Rodovia do Aço;Sep-10;Sul;Praça 01  BR-393/RJ km 125,00;Outros;Comercial;1272
12.Rodovia do Aço;Oct-10;Norte;Praça 01  BR-393/RJ km 125,00;Outros;Comercial;1577
12.Rodovia do Aço;Oct-10;Sul;Praça 01  BR-393/RJ km 125,00;Outros;Comercial;1274
12.Rodovia do Aço;Nov-10;Norte;Praça 01  BR-393/RJ km 125,00;Outros;Comercial;1684
12.Rodovia do Aço;Nov-10;Sul;Praça 01  BR-393/RJ km 125,00;Outros;Comercial;1360
12.Rodovia do Aço;Dec-10;Norte;Praça 01  BR-393/RJ km 125,00;Outros;Comercial;1717
12.Rodovia do Aço;Dec-10;Sul;Praça 01  BR-393/RJ km 125,00;Outros;Comercial;1387
12.Rodovia do Aço;Jan-10;Norte;Praça 02 BR-393/RJ km 195,00;Categoria 1;Passeio;56174
12.Rodovia do Aço;Jan-10;Sul;Praça 02 BR-393/RJ km 195,00;Categoria 1;Passeio;48582
12.Rodovia do Aço;Feb-10;Norte;Praça 02 BR-393/RJ km 195,00;Categoria 1;Passeio;44058
12.Rodovia do Aço;Feb-10;Sul;Praça 02 BR-393/RJ km 195,00;Categoria 1;Passeio;38103
